player,team,pred_OPS
中野　拓夢,阪神,0.647
岡林　勇希,中日,0.705
大山　悠輔,阪神,0.769
柳田　悠岐,ソフトバンク,0.747
近藤　健介,ソフトバンク,0.883
佐野　恵太,DeNA,0.72
牧　秀悟,DeNA,0.79
浅村　栄斗,楽天,0.725
村上　宗隆,ヤクルト,0.839
岡本　和真,巨人,0.906
中村　晃,ソフトバンク,0.606
近本　光司,阪神,0.722
中村　奨吾,ロッテ,0.663
万波　中正,日本ハム,0.713
細川　成也,中日,0.805
外崎　修汰,西武,0.587
中川　圭太,オリックス,0.685
松本　剛,日本ハム,0.611
小深田　大翔,楽天,0.611
佐藤　輝明,阪神,0.78
オスナ,ヤクルト,0.716
関根　大気,DeNA,0.632
サンタナ,ヤクルト,0.783
ノイジー,阪神,0.635
マキノン,西武,0.687
ポランコ,ロッテ,0.732
辰己　涼介,楽天,0.588
大島　洋平,中日,0.586
大城　卓三,巨人,0.689
長岡　秀樹,ヤクルト,0.602
菊池　涼介,広島,0.622
今宮　健太,ソフトバンク,0.619
秋山　翔吾,広島,0.608
紅林　弘太郎,オリックス,0.677
桑原　将志,DeNA,0.694
吉川　尚輝,巨人,0.662
宗　佑磨,オリックス,0.649
山口　航輝,ロッテ,0.689
野村　佑希,日本ハム,0.716
安田　尚憲,ロッテ,0.599
木浪　聖也,阪神,0.603
石川　昂弥,中日,0.583
宮﨑　敏郎,DeNA,0.751
坂本　勇人,巨人,0.671
森　友哉,オリックス,0.704
頓宮　裕真,オリックス,0.694
坂倉　将吾,広島,0.659
マルティネス,日本ハム,0.685
西川　龍馬,広島,0.698
小郷　裕哉,楽天,0.614
秋広　優人,巨人,0.654
源田　壮亮,西武,0.607
丸　佳浩,巨人,0.734
山田　哲人,ヤクルト,0.708
甲斐　拓也,ソフトバンク,0.618
野間　峻祥,広島,0.643
清宮　幸太郎,日本ハム,0.765
岡島　豪郎,楽天,0.652
ソト,DeNA,0.737
栗原　陵矢,ソフトバンク,0.727
牧原　大成,ソフトバンク,0.651
デビッドソン,広島,0.597
藤岡　裕大,ロッテ,0.647
森下　翔太,阪神,0.816
中村　悠平,ヤクルト,0.589
柳町　達,ソフトバンク,0.72
岡　大海,ロッテ,0.733
杉本　裕太郎,オリックス,0.697
島内　宏明,楽天,0.612
藤原　恭大,ロッテ,0.622
門脇　誠,巨人,0.616
ビシエド,中日,0.661
上川畑　大悟,日本ハム,0.597
茶野　篤政,オリックス,0.566
村林　一輝,楽天,0.591
フランコ,楽天,0.606
福永　裕基,中日,0.636
中村　剛也,西武,0.691
ゴンザレス,オリックス,0.583
若月　健矢,オリックス,0.635
三森　大貴,ソフトバンク,0.617
木下　拓哉,中日,0.563
山﨑　剛,楽天,0.651
小園　海斗,広島,0.727
龍空,中日,0.633
村松　開人,中日,0.606
ブリンソン,巨人,0.663
鈴木　大地,楽天,0.638
梶谷　隆幸,巨人,0.573
坂本　誠志郎,阪神,0.613
中田　翔,巨人,0.597
京田　陽太,DeNA,0.598
堂林　翔太,広島,0.642
古賀　悠斗,西武,0.609
佐藤　都志也,ロッテ,0.605
濱田　太貴,ヤクルト,0.649
上本　崇司,広島,0.608
内山　壮真,ヤクルト,0.685
周東　佑京,ソフトバンク,0.632
愛斗,西武,0.569
鈴木　将平,西武,0.636
青木　宣親,ヤクルト,0.591
マクブルーム,広島,0.658
佐藤　龍世,西武,0.698
野口　智哉,オリックス,0.651
田中　広輔,広島,0.597
阿部　寿樹,楽天,0.736
伏見　寅威,日本ハム,0.549
梅野　隆太郎,阪神,0.549
角中　勝也,ロッテ,0.678
太田　光,楽天,0.586
大和,DeNA,0.599
宇佐見　真吾,中日,0.676
ペイトン,西武,0.588
蛭間　拓哉,西武,0.576
加藤　豪将,日本ハム,0.641
伊藤　裕季也,楽天,0.614
田村　龍弘,ロッテ,0.571
友杉　篤輝,ロッテ,0.645
渡部　健人,西武,0.651
塩見　泰隆,ヤクルト,0.675
川瀬　晃,ソフトバンク,0.609
五十幡　亮汰,日本ハム,0.63
荻野　貴司,ロッテ,0.598
山本　祐大,DeNA,0.652
長谷川　信哉,西武,0.653
岸　潤一郎,西武,0.58
奈良間　大己,日本ハム,0.651
栗山　巧,西武,0.581
茶谷　健太,ロッテ,0.689
セデーニョ,オリックス,0.674
郡司　裕也,日本ハム,0.732
大田　泰示,DeNA,0.61
戸柱　恭孝,DeNA,0.58
武岡　龍世,ヤクルト,0.633
江越　大賀,日本ハム,0.591
楠本　泰史,DeNA,0.602
長野　久義,巨人,0.612
伊藤　光,DeNA,0.512
並木　秀尊,ヤクルト,0.684
高橋　周平,中日,0.608
カリステ,中日,0.592
平沢　大河,ロッテ,0.628
宜保　翔,オリックス,0.652
松山　竜平,広島,0.553
林　琢真,DeNA,0.607
山崎　晃大朗,ヤクルト,0.626
中山　礼都,巨人,0.64
ブロッソー,ロッテ,0.628
矢野　雅哉,広島,0.625
末包　昇大,広島,0.662
炭谷　銀仁朗,楽天,0.538
ミエセス,阪神,0.618
西野　真弘,オリックス,0.701
柘植　世那,西武,0.618
會澤　翼,広島,0.538
児玉　亮涼,西武,0.603
安田　悠馬,楽天,0.616
オコエ　瑠偉,巨人,0.62
アルカンタラ,日本ハム,0.636
宮本　丈,ヤクルト,0.574
島田　海吏,阪神,0.608
ウォーカー,巨人,0.567
石川　慎吾,ロッテ,0.566
池田　来翔,ロッテ,0.628
福田　周平,オリックス,0.591
和田　康士朗,ロッテ,0.648
細川　凌平,日本ハム,0.629
平沼　翔太,西武,0.527
西川　愛也,西武,0.713
矢澤　宏太,日本ハム,0.659
前川　右京,阪神,0.611
丸山　和郁,ヤクルト,0.622
井上　晴哉,ロッテ,0.612
川端　慎吾,ヤクルト,0.595
廣岡　大志,オリックス,0.601
石井　一成,日本ハム,0.632
上林　誠知,ソフトバンク,0.692
ハンソン,日本ハム,0.638
野村　勇,ソフトバンク,0.712
鵜飼　航丞,中日,0.535
若林　楽人,西武,0.673
呉　念庭,西武,0.669
金子　侑司,西武,0.625
小幡　竜平,阪神,0.663
谷内　亮太,日本ハム,0.628
西川　遥輝,楽天,0.656
渡邉　諒,阪神,0.639
糸原　健斗,阪神,0.607
小野寺　暖,阪神,0.674
野村　大樹,ソフトバンク,0.627
古賀　優大,ヤクルト,0.623
石橋　康太,中日,0.595
増田　珠,ソフトバンク,0.619
岸田　行倫,巨人,0.696
大盛　穂,広島,0.638
シュウィンデル,オリックス,0.651
太田　椋,オリックス,0.702
今川　優馬,日本ハム,0.703
小田　裕也,オリックス,0.614
ブライト　健太,中日,0.7
安達　了一,オリックス,0.607
アキーノ,中日,0.641
柴田　竜拓,DeNA,0.612
リチャード,ソフトバンク,0.731
福田　光輝,日本ハム,0.622
水野　達稀,日本ハム,0.737
林　晃汰,広島,0.601
山川　穂高,西武,0.728
清水　優心,日本ハム,0.617
重信　慎之介,巨人,0.589
渡邊　佳明,楽天,0.653
原口　文仁,阪神,0.62
古市　尊,西武,0.574
韮澤　雄也,広島,0.667
アルモンテ,中日,0.615
オースティン,DeNA,0.806
梶原　昂希,DeNA,0.564
神里　和毅,DeNA,0.538
羽月　隆太郎,広島,0.646
渡部　遼人,オリックス,0.645
岡田　悠希,巨人,0.679
大城　滉二,オリックス,0.614
後藤　駿太,中日,0.638
蝦名　達夫,DeNA,0.712
アストゥディーヨ,ソフトバンク,0.63
デスパイネ,ソフトバンク,0.625
古川　裕大,日本ハム,0.628
谷川原　健太,ソフトバンク,0.746
山田　遥楓,日本ハム,0.659
溝脇　隼人,中日,0.672
加藤　翔平,中日,0.625
王　柏融,日本ハム,0.636
山野辺　翔,西武,0.631
元山　飛優,ヤクルト,0.563
太田　賢吾,ヤクルト,0.606
Ｔ－岡田,オリックス,0.576
田中　和基,楽天,0.561
浅野　翔吾,巨人,0.634
井上　朋也,ソフトバンク,0.632
嶺井　博希,ソフトバンク,0.62
知野　直人,DeNA,0.758
池田　陵真,オリックス,0.674
佐野　皓大,オリックス,0.632
北村　拓己,巨人,0.649
柿沼　友哉,ロッテ,0.626
淺間　大基,日本ハム,0.612
川越　誠司,西武,0.644
澤井　廉,ヤクルト,0.654
中村　貴浩,広島,0.659
井上　広大,阪神,0.607
ガルビス,ソフトバンク,0.63
磯村　嘉孝,広島,0.57
中島　卓也,日本ハム,0.628
佐藤　直樹,ソフトバンク,0.687
田宮　裕涼,日本ハム,0.672
正木　智也,ソフトバンク,0.732
大下　誠一郎,ロッテ,0.616
陽川　尚将,西武,0.575
山足　達也,オリックス,0.667
赤羽　由紘,ヤクルト,0.606
石垣　雅海,中日,0.631
福田　永将,中日,0.619
小川　龍成,ロッテ,0.612
藤田　一也,DeNA,0.63
黒川　史陽,楽天,0.699
北村　恵吾,ヤクルト,0.79
伊藤　康祐,中日,0.694
田村　俊介,広島,0.694
三ツ俣　大樹,ヤクルト,0.66
生海,ソフトバンク,0.656
中村　奨成,広島,0.719
中島　宏之,巨人,0.59
高木　渉,西武,0.667
若林　晃弘,巨人,0.652
松川　虎生,ロッテ,0.604
三好　大倫,中日,0.6
滝澤　夏央,西武,0.584
松田　宣浩,巨人,0.619
板山　祐太郎,阪神,0.615
萩尾　匡也,巨人,0.555
曽根　海成,広島,0.678
茂木　栄五郎,楽天,0.683
郡　拓也,日本ハム,0.636
山村　崇嘉,西武,0.667
森　敬斗,DeNA,0.614
増田　大輝,巨人,0.587
松原　聖弥,巨人,0.615
長坂　拳弥,阪神,0.623
西浦　直亨,ヤクルト,0.613
石川　亮,オリックス,0.584
菅野　剛士,ロッテ,0.659
来田　涼斗,オリックス,0.642
堂上　直倫,中日,0.618
銀次,楽天,0.614
江村　直也,ロッテ,0.649
ホーキンス,ソフトバンク,0.64
熊谷　敬宥,阪神,0.616
小林　誠司,巨人,0.604
福田　秀平,ロッテ,0.625
加藤　匠馬,中日,0.597
西田　明央,ヤクルト,0.644
アンバギー,DeNA,0.661
味谷　大誠,中日,0.61
山瀬　慎之助,巨人,0.617
山本　大斗,ロッテ,0.671
梅林　優貴,日本ハム,0.636
菊田　拡和,巨人,0.65
松本　直樹,ヤクルト,0.635
和田　恋,楽天,0.671
平野　大和,オリックス,0.648
奥村　展征,ヤクルト,0.678
杉澤　龍,オリックス,0.674
有薗　直輝,日本ハム,0.63
西巻　賢二,DeNA,0.66
榮枝　裕貴,阪神,0.661
植田　海,阪神,0.646
樋口　正修,中日,0.597
植田　将太,ロッテ,0.648
堀内　謙伍,楽天,0.648
海野　隆司,ソフトバンク,0.557
山浅　龍之介,中日,0.621
大里　昂生,オリックス,0.649
福永　奨,オリックス,0.6
荒木　貴裕,ヤクルト,0.615
木村　文紀,日本ハム,0.64
渡邉　大樹,オリックス,0.663
正隨　優弥,楽天,0.683
髙松　渡,中日,0.599
川原田　純平,ソフトバンク,0.646
大野　奨太,中日,0.626
西村　瑠伊斗,ヤクルト,0.573
吉田　賢吾,ソフトバンク,0.636
益子　京右,DeNA,0.658
齊藤　誠人,西武,0.681
レイエス,日本ハム,0.857
水谷　瞬,日本ハム,0.763
田中　幹也,中日,0.638
髙部　瑛斗,ロッテ,0.664
度会　隆輝,DeNA,0.653
ヘルナンデス,巨人,0.678
泉口　友汰,巨人,0.759
山本　泰寛,中日,0.581
石原　彪,楽天,0.619
筒香　嘉智,DeNA,0.813
モンテス,巨人,0.66
佐々木　俊輔,巨人,0.639
川村　友斗,ソフトバンク,0.601
岩田　幸宏,ヤクルト,0.65
